Año;Sexo;Código Localidad;Localidad;Grupo de edad;Régimen Aseguramiento;Código CIE10;Descripción causa básica de muerte;Grupo condición crónica;Muertes total
2010;Femenino;21;Distrito;35 a 39 años;Subsidiado;C959;LEUCEMIA, NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;40 a 44 años;Contributivo;C160;TUMOR MALIGNO DEL CARDIAS;Neoplasias malignas;1
2010;Femenino;21;Distrito;40 a 44 años;Contributivo;C169;TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;Neoplasias malignas;10
2010;Femenino;21;Distrito;40 a 44 años;Contributivo;C189;TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;Neoplasias malignas;5
2010;Femenino;21;Distrito;40 a 44 años;Contributivo;C20X;TUMOR MALIGNO DEL RECTO;Neoplasias malignas;1
2010;Femenino;21;Distrito;40 a 44 años;Contributivo;C349;TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;40 a 44 años;Contributivo;C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;Neoplasias malignas;17
2010;Femenino;21;Distrito;40 a 44 años;Contributivo;C539;TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;Neoplasias malignas;4
2010;Femenino;21;Distrito;40 a 44 años;Contributivo;C859;LINFOMA NO HODGKIN, NO ESPECIFICADO;Neoplasias malignas;1
2010;Femenino;21;Distrito;40 a 44 años;Contributivo;C910;LEUCEMIA LINFOBLASTICA AGUDA;Neoplasias malignas;1
2010;Femenino;21;Distrito;40 a 44 años;Contributivo;C920;LEUCEMIA MIELOIDE AGUDA;Neoplasias malignas;1
2010;Femenino;21;Distrito;40 a 44 años;Contributivo;C930;LEUCEMIA MONOCITICA AGUDA;Neoplasias malignas;1
2010;Femenino;21;Distrito;40 a 44 años;Excepcion;C169;TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;40 a 44 años;Excepcion;C189;TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;40 a 44 años;Excepcion;C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;Neoplasias malignas;2
2010;Femenino;21;Distrito;40 a 44 años;Excepcion;C539;TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;Neoplasias malignas;3
2010;Femenino;21;Distrito;40 a 44 años;Excepcion;C822;LINFOMA NO HODGKIN DE CELULAS GRANDES, FOLICULAR;Neoplasias malignas;1
2010;Femenino;21;Distrito;40 a 44 años;No Asegurado;C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;Neoplasias malignas;4
2010;Femenino;21;Distrito;40 a 44 años;No Asegurado;C531;TUMOR MALIGNO DE EXOCERVIX;Neoplasias malignas;1
2010;Femenino;21;Distrito;40 a 44 años;No Asegurado;C539;TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;Neoplasias malignas;2
2010;Femenino;21;Distrito;40 a 44 años;Subsidiado;C169;TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;Neoplasias malignas;4
2010;Femenino;21;Distrito;40 a 44 años;Subsidiado;C189;TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;40 a 44 años;Subsidiado;C20X;TUMOR MALIGNO DEL RECTO;Neoplasias malignas;1
2010;Femenino;21;Distrito;40 a 44 años;Subsidiado;C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;Neoplasias malignas;6
2010;Femenino;21;Distrito;40 a 44 años;Subsidiado;C539;TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;Neoplasias malignas;9
2010;Femenino;21;Distrito;40 a 44 años;Subsidiado;C959;LEUCEMIA, NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;45 a 49 años;Contributivo;C160;TUMOR MALIGNO DEL CARDIAS;Neoplasias malignas;1
2010;Femenino;21;Distrito;45 a 49 años;Contributivo;C169;TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;Neoplasias malignas;12
2010;Femenino;21;Distrito;45 a 49 años;Contributivo;C181;TUMOR MALIGNO DEL APENDICE;Neoplasias malignas;1
2010;Femenino;21;Distrito;45 a 49 años;Contributivo;C189;TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;Neoplasias malignas;6
2010;Femenino;21;Distrito;45 a 49 años;Contributivo;C20X;TUMOR MALIGNO DE LA UNION RECTOSIGMOIDEA;Neoplasias malignas;1
2010;Femenino;21;Distrito;45 a 49 años;Contributivo;C20X;TUMOR MALIGNO DEL RECTO;Neoplasias malignas;4
2010;Femenino;21;Distrito;45 a 49 años;Contributivo;C349;TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA;Neoplasias malignas;4
2010;Femenino;21;Distrito;45 a 49 años;Contributivo;C508;LESION DE SITIOS CONTIGUOS DE LA MAMA;Neoplasias malignas;1
2010;Femenino;21;Distrito;45 a 49 años;Contributivo;C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;Neoplasias malignas;27
2010;Femenino;21;Distrito;45 a 49 años;Contributivo;C539;TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;Neoplasias malignas;11
2010;Femenino;21;Distrito;45 a 49 años;Contributivo;C859;LINFOMA NO HODGKIN, NO ESPECIFICADO;Neoplasias malignas;1
2010;Femenino;21;Distrito;45 a 49 años;Contributivo;C920;LEUCEMIA MIELOIDE AGUDA;Neoplasias malignas;1
2010;Femenino;21;Distrito;45 a 49 años;Especial;C20X;TUMOR MALIGNO DEL RECTO;Neoplasias malignas;1
2010;Femenino;21;Distrito;45 a 49 años;Excepcion;C531;TUMOR MALIGNO DE EXOCERVIX;Neoplasias malignas;1
2010;Femenino;21;Distrito;45 a 49 años;No Asegurado;C160;TUMOR MALIGNO DEL CARDIAS;Neoplasias malignas;1
2010;Femenino;21;Distrito;45 a 49 años;No Asegurado;C349;TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA;Neoplasias malignas;2
2010;Femenino;21;Distrito;45 a 49 años;No Asegurado;C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;Neoplasias malignas;8
2010;Femenino;21;Distrito;45 a 49 años;No Asegurado;C539;TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;Neoplasias malignas;3
2010;Femenino;21;Distrito;45 a 49 años;Sin dato;C169;TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;45 a 49 años;Subsidiado;C169;TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;Neoplasias malignas;2
2010;Femenino;21;Distrito;45 a 49 años;Subsidiado;C189;TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;Neoplasias malignas;3
2010;Femenino;21;Distrito;45 a 49 años;Subsidiado;C349;TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;45 a 49 años;Subsidiado;C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;Neoplasias malignas;7
2010;Femenino;21;Distrito;45 a 49 años;Subsidiado;C539;TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;Neoplasias malignas;13
2010;Femenino;21;Distrito;45 a 49 años;Subsidiado;C859;LINFOMA NO HODGKIN, NO ESPECIFICADO;Neoplasias malignas;2
2010;Femenino;21;Distrito;45 a 49 años;Subsidiado;C919;LEUCEMIA LINFOIDE, SIN OTRA ESPECIFICACION;Neoplasias malignas;1
2010;Femenino;21;Distrito;50 a 54 años;Contributivo;C169;TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;Neoplasias malignas;9
2010;Femenino;21;Distrito;50 a 54 años;Contributivo;C186;TUMOR MALIGNO DEL COLON DESCENDENTE;Neoplasias malignas;1
2010;Femenino;21;Distrito;50 a 54 años;Contributivo;C187;TUMOR MALIGNO DEL COLON SIGMOIDE;Neoplasias malignas;1
2010;Femenino;21;Distrito;50 a 54 años;Contributivo;C189;TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;Neoplasias malignas;11
2010;Femenino;21;Distrito;50 a 54 años;Contributivo;C19X;TUMOR MALIGNO DE LA UNION RECTOSIGMOIDEA;Neoplasias malignas;1
2010;Femenino;21;Distrito;50 a 54 años;Contributivo;C20X;TUMOR MALIGNO DEL RECTO;Neoplasias malignas;4
2010;Femenino;21;Distrito;50 a 54 años;Contributivo;C211;TUMOR MALIGNO DEL CONDUCTO ANAL;Neoplasias malignas;1
2010;Femenino;21;Distrito;50 a 54 años;Contributivo;C218;LESION DE SITIOS CONTIGUOS DEL ANO, DEL CONDUCTO ANAL Y DEL RECTO;Neoplasias malignas;1
2010;Femenino;21;Distrito;50 a 54 años;Contributivo;C349;TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA;Neoplasias malignas;18
2010;Femenino;21;Distrito;50 a 54 años;Contributivo;C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;Neoplasias malignas;39
2010;Femenino;21;Distrito;50 a 54 años;Contributivo;C539;TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;Neoplasias malignas;14
2010;Femenino;21;Distrito;50 a 54 años;Contributivo;C859;LINFOMA NO HODGKIN, NO ESPECIFICADO;Neoplasias malignas;1
2010;Femenino;21;Distrito;50 a 54 años;Contributivo;C920;LEUCEMIA MIELOIDE AGUDA;Neoplasias malignas;3
2010;Femenino;21;Distrito;50 a 54 años;Contributivo;C924;LEUCEMIA PROMIELOCITICA AGUDA;Neoplasias malignas;1
2010;Femenino;21;Distrito;50 a 54 años;Contributivo;C925;LEUCEMIA MIELOMONOCITICA AGUDA;Neoplasias malignas;1
2010;Femenino;21;Distrito;50 a 54 años;Contributivo;C950;LEUCEMIA AGUDA, CELULAS DE TIPO NO ESPECIFICADO;Neoplasias malignas;1
2010;Femenino;21;Distrito;50 a 54 años;Especial;C189;TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;50 a 54 años;Especial;C859;LINFOMA NO HODGKIN, NO ESPECIFICADO;Neoplasias malignas;1
2010;Femenino;21;Distrito;50 a 54 años;Excepcion;C349;TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;50 a 54 años;Excepcion;C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;Neoplasias malignas;2
2010;Femenino;21;Distrito;50 a 54 años;Excepcion;C539;TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;Neoplasias malignas;1
2010;Femenino;21;Distrito;50 a 54 años;No Asegurado;C169;TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;50 a 54 años;No Asegurado;C187;TUMOR MALIGNO DEL COLON SIGMOIDE;Neoplasias malignas;1
2010;Femenino;21;Distrito;50 a 54 años;No Asegurado;C349;TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA;Neoplasias malignas;3
2010;Femenino;21;Distrito;50 a 54 años;No Asegurado;C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;50 a 54 años;No Asegurado;C539;TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;Neoplasias malignas;3
2010;Femenino;21;Distrito;50 a 54 años;No Asegurado;C859;LINFOMA NO HODGKIN, NO ESPECIFICADO;Neoplasias malignas;1
2010;Femenino;21;Distrito;50 a 54 años;Subsidiado;C169;TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;Neoplasias malignas;5
2010;Femenino;21;Distrito;50 a 54 años;Subsidiado;C189;TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;Neoplasias malignas;3
2010;Femenino;21;Distrito;50 a 54 años;Subsidiado;C20X;TUMOR MALIGNO DEL RECTO;Neoplasias malignas;2
2010;Femenino;21;Distrito;50 a 54 años;Subsidiado;C349;TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA;Neoplasias malignas;4
2010;Femenino;21;Distrito;50 a 54 años;Subsidiado;C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;Neoplasias malignas;14
2010;Femenino;21;Distrito;50 a 54 años;Subsidiado;C539;TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;Neoplasias malignas;9
2010;Femenino;21;Distrito;50 a 54 años;Subsidiado;C859;LINFOMA NO HODGKIN, NO ESPECIFICADO;Neoplasias malignas;1
2010;Femenino;21;Distrito;50 a 54 años;Subsidiado;C910;LEUCEMIA LINFOBLASTICA AGUDA;Neoplasias malignas;1
2010;Femenino;21;Distrito;50 a 54 años;Subsidiado;C921;LEUCEMIA MIELOIDE CRONICA;Neoplasias malignas;1
2010;Femenino;21;Distrito;55 a 59 años;Contributivo;C169;TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;Neoplasias malignas;6
2010;Femenino;21;Distrito;55 a 59 años;Contributivo;C187;TUMOR MALIGNO DEL COLON SIGMOIDE;Neoplasias malignas;1
2010;Femenino;21;Distrito;55 a 59 años;Contributivo;C189;TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;Neoplasias malignas;10
2010;Femenino;21;Distrito;55 a 59 años;Contributivo;C19X;TUMOR MALIGNO DE LA UNION RECTOSIGMOIDEA;Neoplasias malignas;1
2010;Femenino;21;Distrito;55 a 59 años;Contributivo;C20X;TUMOR MALIGNO DEL RECTO;Neoplasias malignas;5
2010;Femenino;21;Distrito;55 a 59 años;Contributivo;C211;TUMOR MALIGNO DEL CONDUCTO ANAL;Neoplasias malignas;1
2010;Femenino;21;Distrito;55 a 59 años;Contributivo;C349;TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA;Neoplasias malignas;12
2010;Femenino;21;Distrito;55 a 59 años;Contributivo;C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;Neoplasias malignas;36
2010;Femenino;21;Distrito;55 a 59 años;Contributivo;C539;TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;Neoplasias malignas;20
2010;Femenino;21;Distrito;55 a 59 años;Contributivo;C833;LINFOMA NO HODGKIN DE CELULAS GRANDES (DIFUSO);Neoplasias malignas;2
2010;Femenino;21;Distrito;55 a 59 años;Contributivo;C859;LINFOMA NO HODGKIN, NO ESPECIFICADO;Neoplasias malignas;7
2010;Femenino;21;Distrito;55 a 59 años;Contributivo;C910;LEUCEMIA LINFOBLASTICA AGUDA;Neoplasias malignas;1
2010;Femenino;21;Distrito;55 a 59 años;Contributivo;C911;LEUCEMIA LINFOCITICA CRONICA;Neoplasias malignas;1
2010;Femenino;21;Distrito;55 a 59 años;Contributivo;C919;LEUCEMIA LINFOIDE, SIN OTRA ESPECIFICACION;Neoplasias malignas;1
2010;Femenino;21;Distrito;55 a 59 años;Contributivo;C920;LEUCEMIA MIELOIDE AGUDA;Neoplasias malignas;1
2010;Femenino;21;Distrito;55 a 59 años;Contributivo;C950;LEUCEMIA AGUDA, CELULAS DE TIPO NO ESPECIFICADO;Neoplasias malignas;1
2010;Femenino;21;Distrito;55 a 59 años;Contributivo;C959;LEUCEMIA, NO ESPECIFICADA;Neoplasias malignas;2
2010;Femenino;21;Distrito;55 a 59 años;Excepcion;C169;TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;Neoplasias malignas;2
2010;Femenino;21;Distrito;55 a 59 años;Excepcion;C189;TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;Neoplasias malignas;3
2010;Femenino;21;Distrito;55 a 59 años;Excepcion;C349;TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA;Neoplasias malignas;2
2010;Femenino;21;Distrito;55 a 59 años;Excepcion;C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;Neoplasias malignas;3
2010;Femenino;21;Distrito;55 a 59 años;Excepcion;C539;TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;Neoplasias malignas;2
2010;Femenino;21;Distrito;55 a 59 años;Excepcion;C844;LINFOMA DE CELULAS T PERIFERICO;Neoplasias malignas;1
2010;Femenino;21;Distrito;55 a 59 años;No Asegurado;C169;TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;55 a 59 años;No Asegurado;C187;TUMOR MALIGNO DEL COLON SIGMOIDE;Neoplasias malignas;1
2010;Femenino;21;Distrito;55 a 59 años;No Asegurado;C349;TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;55 a 59 años;No Asegurado;C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;55 a 59 años;No Asegurado;C539;TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;Neoplasias malignas;3
2010;Femenino;21;Distrito;55 a 59 años;Sin dato;C169;TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;55 a 59 años;Subsidiado;C169;TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;Neoplasias malignas;5
2010;Femenino;21;Distrito;55 a 59 años;Subsidiado;C189;TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;Neoplasias malignas;1
2010;Femenino;21;Distrito;55 a 59 años;Subsidiado;C20X;TUMOR MALIGNO DEL RECTO;Neoplasias malignas;1
2010;Femenino;21;Distrito;55 a 59 años;Subsidiado;C349;TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA;Neoplasias malignas;3
2010;Femenino;21;Distrito;55 a 59 años;Subsidiado;C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;Neoplasias malignas;16
2010;Femenino;21;Distrito;55 a 59 años;Subsidiado;C539;TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;Neoplasias malignas;7
2010;Femenino;21;Distrito;55 a 59 años;Subsidiado;C859;LINFOMA NO HODGKIN, NO ESPECIFICADO;Neoplasias malignas;1
2010;Femenino;21;Distrito;55 a 59 años;Subsidiado;C920;LEUCEMIA MIELOIDE AGUDA;Neoplasias malignas;2
2010;Femenino;21;Distrito;55 a 59 años;Subsidiado;C925;LEUCEMIA MIELOMONOCITICA AGUDA;Neoplasias malignas;1
2010;Femenino;21;Distrito;60 a 64 años;Contributivo;C161;TUMOR MALIGNO DEL FUNDUS GASTRICO;Neoplasias malignas;1
2010;Femenino;21;Distrito;60 a 64 años;Contributivo;C169;TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;Neoplasias malignas;16
2010;Femenino;21;Distrito;60 a 64 años;Contributivo;C189;TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;Neoplasias malignas;13
2010;Femenino;21;Distrito;60 a 64 años;Contributivo;C20X;TUMOR MALIGNO DEL RECTO;Neoplasias malignas;7
2010;Femenino;21;Distrito;60 a 64 años;Contributivo;C349;TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA;Neoplasias malignas;16
2010;Femenino;21;Distrito;60 a 64 años;Contributivo;C509;TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;Neoplasias malignas;43
2010;Femenino;21;Distrito;60 a 64 años;Contributivo;C539;TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;Neoplasias malignas;7
2010;Femenino;21;Distrito;60 a 64 años;Contributivo;C838;OTROS TIPOS ESPECIFICADOS DE LINFOMA NO HODGKIN DIFUSO;Neoplasias malignas;1
2010;Femenino;21;Distrito;60 a 64 años;Contributivo;C851;LINFOMA DE CELULAS B, SIN OTRA ESPECIFICACION;Neoplasias malignas;1
2010;Femenino;21;Distrito;60 a 64 años;Contributivo;C859;LINFOMA NO HODGKIN, NO ESPECIFICADO;Neoplasias malignas;10
2010;Femenino;21;Distrito;60 a 64 años;Contributivo;C910;LEUCEMIA LINFOBLASTICA AGUDA;Neoplasias malignas;1
2010;Femenino;21;Distrito;60 a 64 años;Contributivo;C920;LEUCEMIA MIELOIDE AGUDA;Neoplasias malignas;2
2010;Femenino;21;Distrito;60 a 64 años;Contributivo;C921;LEUCEMIA MIELOIDE CRONICA;Neoplasias malignas;1
2010;Femenino;21;Distrito;60 a 64 años;Excepcion;C169;TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;Neoplasias malignas;3
2010;Femenino;21;Distrito;60 a 64 años;Excepcion;C189;TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;Neoplasias malignas;2
2010;Femenino;21;Distrito;60 a 64 años;Excepcion;C20X;TUMOR MALIGNO DEL RECTO;Neoplasias malignas;1
2010;Femenino;21;Distrito;60 a 64 años;Excepcion;C349;TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA;Neoplasias malignas;2
